|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1/KHA22/KHA22_5.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         pcr     usp     imt     ispTH     iherc     nmt     nsp     nherc    
  1551.28        500.000       0.712436       0.131622E-003  0.994601E-001  0.653236E-001  0.351314E-002 -0.482020E-001 -0.296543       0.463880     
  1549.90        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.52        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.14        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.75        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.99        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.23        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.46        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.08        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.70        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.94        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.56        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.17        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.41        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.03        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.65        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.88        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.12        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.36        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.98        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.59        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.21        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.83        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.07        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.69        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.30        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.92        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.54        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.16        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.78        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.40        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.01        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.63        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.25        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.87        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.49        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.11        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.72        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.34        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
