|6.6.6
Archiving\03_Data\eq/QFM_m3.25/TIS/TIS_6.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        2500.00        3594.80     
  1996.79        2500.00        3595.28     
  1993.59        2500.00        3595.75     
  1990.38        2500.00        3596.23     
  1987.18        2500.00        3596.70     
  1983.97        2500.00        3597.18     
  1980.77        2500.00        3597.65     
  1977.56        2500.00        3598.13     
  1974.36        2500.00        3598.60     
  1971.15        2500.00        3599.08     
  1967.95        2500.00        3599.55     
  1964.74        2500.00        3600.03     
  1961.54        2500.00        3600.50     
  1958.33        2500.00        3600.97     
  1955.13        2500.00        3601.45     
  1951.92        2500.00        3601.92     
  1948.72        2500.00        3602.39     
  1945.51        2500.00        3602.86     
  1942.31        2500.00        3603.34     
  1939.10        2500.00        3603.81     
  1935.90        2500.00        3604.28     
  1932.69        2500.00        3604.75     
  1929.49        2500.00        3605.22     
  1926.28        2500.00        3605.70     
  1923.08        2500.00        3606.17     
  1919.87        2500.00        3606.64     
  1916.67        2500.00        3607.11     
  1913.46        2500.00        3607.58     
  1910.26        2500.00        3608.05     
  1907.05        2500.00        3608.52     
  1903.85        2500.00        3608.99     
  1900.64        2500.00        3609.46     
  1897.44        2500.00        3609.93     
  1894.23        2500.00        3610.40     
  1891.03        2500.00        3610.87     
  1887.82        2500.00        3611.34     
  1884.62        2500.00        3611.81     
  1881.41        2500.00        3612.27     
  1878.21        2500.00        3612.74     
  1875.00        2500.00        3613.21     
  1871.79        2500.00        3613.68     
  1868.59        2500.00        3614.15     
  1865.38        2500.00        3614.61     
  1862.18        2500.00        3615.08     
  1858.97        2500.00        3615.55     
  1855.77        2500.00        3616.01     
  1852.56        2500.00        3616.48     
  1849.36        2500.00        3616.95     
  1846.15        2500.00        3617.41     
  1842.95        2500.00        3617.88     
  1839.74        2500.00        3618.35     
  1836.54        2500.00        3618.81     
  1833.33        2500.00        3619.28     
  1830.13        2500.00        3619.74     
