|6.6.6
Archiving\03_Data\frac/QFM_m2/TIS/TIS_6.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        2500.00        3594.80     
  1997.49        2500.00        3595.17     
  1994.99        2500.00        3595.55     
  1992.48        2500.00        3595.92     
  1989.97        2500.00        3596.29     
  1987.47        2500.00        3596.66     
  1984.96        2500.00        3597.03     
  1982.46        2500.00        3597.40     
  1979.95        2500.00        3597.78     
  1977.44        2500.00        3598.15     
  1974.94        2500.00        3598.52     
  1972.43        2500.00        3598.89     
  1969.92        2500.00        3599.26     
  1967.42        2500.00        3599.63     
  1964.91        2500.00        3600.00     
  1962.41        2500.00        3600.37     
  1959.90        2500.00        3600.74     
  1957.39        2500.00        3601.11     
  1954.89        2500.00        3601.48     
  1952.38        2500.00        3601.85     
  1949.87        2500.00        3602.22     
  1947.37        2500.00        3602.59     
  1944.86        2500.00        3602.96     
  1942.36        2500.00        3603.33     
  1939.85        2500.00        3603.70     
  1937.34        2500.00        3604.07     
  1934.84        2500.00        3604.44     
  1932.33        2500.00        3604.81     
  1929.82        2500.00        3605.18     
  1927.32        2500.00        3605.54     
  1924.81        2500.00        3605.91     
  1922.31        2500.00        3606.28     
  1919.80        2500.00        3606.65     
  1917.29        2500.00        3607.02     
  1914.79        2500.00        3607.39     
  1912.28        2500.00        3607.75     
  1909.77        2500.00        3608.12     
  1907.27        2500.00        3608.49     
  1904.76        2500.00        3608.86     
  1902.26        2500.00        3609.22     
  1899.75        2500.00        3609.59     
  1897.24        2500.00        3609.96     
  1894.74        2500.00        3610.32     
  1892.23        2500.00        3610.69     
  1889.72        2500.00        3611.06     
  1887.22        2500.00        3611.42     
  1884.71        2500.00        3611.79     
  1882.21        2500.00        3612.16     
  1879.70        2500.00        3612.52     
  1877.19        2500.00        3612.89     
  1874.69        2500.00        3613.26     
  1872.18        2500.00        3613.62     
  1869.67        2500.00        3613.99     
  1867.17        2500.00        3614.35     
  1864.66        2500.00        3614.72     
  1862.16        2500.00        3615.08     
  1859.65        2500.00        3615.45     
  1857.14        2500.00        3615.81     
  1854.64        2500.00        3616.18     
  1852.13        2500.00        3616.54     
  1849.62        2500.00        3616.91     
  1847.12        2500.00        3617.27     
  1844.61        2500.00        3617.64     
  1842.11        2500.00        3618.00     
  1839.60        2500.00        3618.37     
  1837.09        2500.00        3618.73     
  1834.59        2500.00        3619.10     
  1832.08        2500.00        3619.46     
  1829.57        2500.00        3619.82     
  1827.07        2500.00        3620.19     
  1824.56        2500.00        3620.55     
  1822.06        2500.00        3620.91     
  1819.55        2500.00        3621.28     
  1817.04        2500.00        3621.64     
  1814.54        2500.00        3622.00     
  1812.03        2500.00        3622.37     
  1809.52        2500.00        3622.73     
  1807.02        2500.00        3623.09     
  1804.51        2500.00        3623.45     
  1802.01        2500.00        3623.82     
  1799.50        2500.00        3624.18     
  1796.99        2500.00        3624.54     
