|6.6.6
Archiving\03_Data\eqfrac/QFM/YM20/YM20_2.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),kg     
  1570.51        2500.00       0.413800E-005
  1569.08        2500.00                 NaN
  1567.65        2500.00                 NaN
  1566.22        2500.00                 NaN
  1564.79        2500.00       0.359674E-006
  1563.36        2500.00                 NaN
  1561.93        2500.00                 NaN
  1560.50        2500.00                 NaN
  1559.07        2500.00                 NaN
  1557.64        2500.00                 NaN
  1556.21        2500.00                 NaN
  1554.78        2500.00                 NaN
  1553.35        2500.00                 NaN
  1551.92        2500.00                 NaN
  1550.49        2500.00                 NaN
  1549.06        2500.00                 NaN
  1547.63        2500.00                 NaN
  1546.20        2500.00                 NaN
  1544.77        2500.00                 NaN
  1543.34        2500.00                 NaN
  1541.91        2500.00                 NaN
  1540.48        2500.00                 NaN
  1539.05        2500.00                 NaN
  1537.62        2500.00                 NaN
  1536.19        2500.00                 NaN
  1534.76        2500.00                 NaN
  1533.33        2500.00                 NaN
  1531.90        2500.00                 NaN
  1530.47        2500.00                 NaN
  1529.04        2500.00                 NaN
  1527.61        2500.00                 NaN
  1526.18        2500.00                 NaN
  1524.75        2500.00                 NaN
  1523.32        2500.00                 NaN
  1521.90        2500.00                 NaN
  1520.47        2500.00                 NaN
  1519.04        2500.00                 NaN
  1517.61        2500.00                 NaN
  1516.18        2500.00                 NaN
  1514.75        2500.00                 NaN
  1513.32        2500.00                 NaN
  1511.89        2500.00                 NaN
  1510.46        2500.00                 NaN
  1509.03        2500.00                 NaN
  1507.60        2500.00                 NaN
  1506.17        2500.00                 NaN
  1504.74        2500.00                 NaN
  1503.31        2500.00                 NaN
  1501.88        2500.00                 NaN
  1500.45        2500.00                 NaN
  1499.02        2500.00                 NaN
  1497.59        2500.00                 NaN
  1496.16        2500.00                 NaN
  1494.73        2500.00                 NaN
  1493.30        2500.00                 NaN
  1491.87        2500.00                 NaN
  1490.44        2500.00                 NaN
  1489.01        2500.00                 NaN
  1487.58        2500.00                 NaN
