|6.6.6
Archiving\03_Data\eq/QFM_m3.25/ALH/ALH_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       mang           O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.5445       0.455548                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.5445       0.455548                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.5445       0.455547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.5445       0.455546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.5445       0.455546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.5445       0.455545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.5445       0.455545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.5445       0.455544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.5445       0.455543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.5445       0.455543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.5445       0.455542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.5445       0.455541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.5445       0.455541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.5445       0.455540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.5445       0.455540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.5445       0.455539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.5445       0.455538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
