|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/KHA22/KHA22_5.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         pcr     usp     imt     ispTH     iherc     nmt     nsp     nherc    
  1589.74        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.27        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.35        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.92        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.96        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.49        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.53        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.05        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.57        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.62        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.14        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.71        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
