|6.6.6
Archiving\03_Data\eqfrac/QFM_m1/KHA22/KHA22_2.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),kg     
  1586.54        2500.00                 NaN
  1585.07        2500.00                 NaN
  1583.60        2500.00                 NaN
  1582.13        2500.00                 NaN
  1580.66        2500.00                 NaN
  1579.19        2500.00                 NaN
  1577.72        2500.00                 NaN
  1576.25        2500.00                 NaN
  1574.78        2500.00                 NaN
  1573.31        2500.00                 NaN
  1571.84        2500.00                 NaN
  1570.37        2500.00                 NaN
  1568.90        2500.00                 NaN
  1567.43        2500.00                 NaN
  1565.96        2500.00                 NaN
  1564.49        2500.00                 NaN
  1563.02        2500.00                 NaN
  1561.55        2500.00                 NaN
  1560.08        2500.00                 NaN
  1558.61        2500.00                 NaN
  1557.14        2500.00                 NaN
  1555.67        2500.00                 NaN
  1554.20        2500.00                 NaN
  1552.73        2500.00                 NaN
  1551.26        2500.00                 NaN
  1549.79        2500.00                 NaN
  1548.32        2500.00                 NaN
  1546.85        2500.00                 NaN
  1545.38        2500.00                 NaN
  1543.91        2500.00                 NaN
  1542.44        2500.00                 NaN
  1540.97        2500.00                 NaN
  1539.50        2500.00                 NaN
  1538.03        2500.00                 NaN
  1536.56        2500.00                 NaN
  1535.09        2500.00                 NaN
  1533.62        2500.00                 NaN
  1532.15        2500.00                 NaN
  1530.68        2500.00                 NaN
  1529.21        2500.00                 NaN
  1527.74        2500.00                 NaN
  1526.27        2500.00                 NaN
  1524.80        2500.00                 NaN
  1523.33        2500.00                 NaN
  1521.86        2500.00                 NaN
  1520.39        2500.00                 NaN
  1518.92        2500.00                 NaN
  1517.45        2500.00                 NaN
  1515.98        2500.00                 NaN
  1514.51        2500.00                 NaN
  1513.04        2500.00                 NaN
  1511.57        2500.00                 NaN
  1510.10        2500.00                 NaN
  1508.63        2500.00                 NaN
  1507.16        2500.00                 NaN
  1505.69        2500.00                 NaN
  1504.22        2500.00                 NaN
  1502.75        2500.00                 NaN
  1501.28        2500.00                 NaN
  1499.81        2500.00                 NaN
  1498.34        2500.00                 NaN
  1496.87        2500.00                 NaN
  1495.40        2500.00                 NaN
  1493.93        2500.00                 NaN
  1492.46        2500.00                 NaN
  1490.99        2500.00                 NaN
  1489.52        2500.00                 NaN
  1488.05        2500.00                 NaN
  1486.58        2500.00                 NaN
  1485.11        2500.00                 NaN
  1483.64        2500.00                 NaN
  1482.17        2500.00                 NaN
  1480.70        2500.00                 NaN
  1479.23        2500.00                 NaN
  1477.76        2500.00                 NaN
  1476.29        2500.00                 NaN
  1474.82        2500.00                 NaN
  1473.35        2500.00                 NaN
  1471.88        2500.00                 NaN
  1470.41        2500.00                 NaN
  1468.94        2500.00                 NaN
  1467.47        2500.00                 NaN
  1466.00        2500.00                 NaN
  1464.53        2500.00                 NaN
  1463.06        2500.00                 NaN
  1461.59        2500.00                 NaN
  1460.12        2500.00                 NaN
  1458.65        2500.00                 NaN
  1457.18        2500.00                 NaN
  1455.71        2500.00                 NaN
  1454.24        2500.00                 NaN
  1452.77        2500.00                 NaN
  1451.30        2500.00                 NaN
  1449.83        2500.00                 NaN
  1448.36        2500.00                 NaN
  1446.89        2500.00                 NaN
  1445.42        2500.00                 NaN
  1443.95        2500.00                 NaN
  1442.48        2500.00                 NaN
  1441.01        2500.00                 NaN
  1439.54        2500.00                 NaN
  1438.07        2500.00                 NaN
  1436.60        2500.00                 NaN
