|6.6.6
Archiving\03_Data\eqLP/QFM_m3.5/KHA22/KHA22_6.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        500.000        5145.98     
  1996.79        500.000        5146.94     
  1993.59        500.000        5147.91     
  1990.38        500.000        5148.87     
  1987.18        500.000        5149.84     
  1983.97        500.000        5150.80     
  1980.77        500.000        5151.76     
  1977.56        500.000        5152.72     
  1974.36        500.000        5153.69     
  1971.15        500.000        5154.65     
  1967.95        500.000        5155.61     
  1964.74        500.000        5156.57     
  1961.54        500.000        5157.52     
  1958.33        500.000        5158.48     
  1955.13        500.000        5159.44     
  1951.92        500.000        5160.39     
  1948.72        500.000        5161.35     
  1945.51        500.000        5162.30     
  1942.31        500.000        5163.26     
  1939.10        500.000        5164.21     
  1935.90        500.000        5165.17     
  1932.69        500.000        5166.12     
  1929.49        500.000        5167.07     
  1926.28        500.000        5168.02     
  1923.08        500.000        5168.97     
  1919.87        500.000        5169.92     
  1916.67        500.000        5170.87     
  1913.46        500.000        5171.82     
  1910.26        500.000        3778.14     
  1907.05        500.000        3454.27     
  1903.85        500.000        3348.88     
  1900.64        500.000        3296.84     
  1897.44        500.000        3265.93     
  1894.23        500.000        3247.52     
  1891.03        500.000        3234.36     
  1887.82        500.000        3225.38     
  1884.62        500.000        3208.88     
  1881.41        500.000        3184.59     
  1878.21        500.000        3183.94     
  1875.00        500.000        3183.37     
  1871.79        500.000        3183.35     
  1868.59        500.000        3183.68     
  1865.38        500.000        3184.42     
  1862.18        500.000        3185.76     
  1858.97        500.000        3187.02     
  1855.77        500.000        3188.87     
  1852.56        500.000        3190.59     
  1849.36        500.000        3192.22     
  1846.15        500.000        3193.76     
  1842.95        500.000        3195.75     
  1839.74        500.000        3197.64     
  1836.54        500.000        3199.44     
  1833.33        500.000        3201.15     
  1830.13        500.000        3202.78     
  1826.92        500.000        3204.34     
  1823.72        500.000        3205.84     
  1820.51        500.000        3207.28     
  1817.31        500.000        3209.16     
