|6.6.6
Archiving\03_Data\eq/QFM_m4.25/GRV/GRV_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           9
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)       
  2000.00        2500.00        99.1673       0.832695                 NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.1673       0.832695                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.1673       0.832695                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.1673       0.832694                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.1673       0.832694                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.1673       0.832694                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.1673       0.832693                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.1673       0.832693                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.1673       0.832693                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.1673       0.832692                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.1673       0.832692                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.1673       0.832692                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.1673       0.832691                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.1673       0.832691                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.1673       0.832690                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.1673       0.832690                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.1673       0.832690                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.1673       0.832689                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.1673       0.832689                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.1673       0.832689                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.1673       0.832688                 NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.1673       0.832688                 NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.1673       0.832687                 NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.1673       0.832687                 NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.1673       0.832687                 NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.1673       0.832686                 NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.1673       0.832686                 NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.1673       0.832685                 NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.1673       0.832685                 NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.1673       0.832684                 NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.1673       0.832684                 NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.1673       0.832684                 NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.1673       0.832683                 NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.1673       0.832683                 NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.1673       0.832682                 NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.1673       0.832682                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.1673       0.832681                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.1673       0.832681                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.1673       0.832680                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.1673       0.832680                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.1673       0.832679                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.1673       0.832679                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.1673       0.832678                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.1673       0.832678                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.1673       0.832677                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.1673       0.832677                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.1673       0.832676                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.1673       0.832676                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.1673       0.832675                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.1673       0.832675                 NaN            NaN            NaN            NaN            NaN
