|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/KHA22/KHA22_4.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),m3     
  1586.54        2500.00       0.182635E-003
  1585.07        2500.00                 NaN
  1583.60        2500.00                 NaN
  1582.13        2500.00                 NaN
  1580.66        2500.00                 NaN
  1579.19        2500.00                 NaN
  1577.72        2500.00                 NaN
  1576.25        2500.00                 NaN
  1574.78        2500.00                 NaN
  1573.31        2500.00                 NaN
  1571.84        2500.00                 NaN
  1570.37        2500.00                 NaN
  1568.90        2500.00                 NaN
  1567.43        2500.00                 NaN
  1565.96        2500.00                 NaN
  1564.49        2500.00                 NaN
  1563.02        2500.00                 NaN
  1561.55        2500.00                 NaN
  1560.08        2500.00                 NaN
  1558.61        2500.00                 NaN
  1557.14        2500.00                 NaN
  1555.67        2500.00                 NaN
  1554.20        2500.00                 NaN
  1552.73        2500.00                 NaN
  1551.26        2500.00                 NaN
  1549.79        2500.00                 NaN
  1548.32        2500.00                 NaN
  1546.85        2500.00                 NaN
  1545.38        2500.00                 NaN
  1543.91        2500.00                 NaN
  1542.44        2500.00                 NaN
  1540.97        2500.00                 NaN
  1539.50        2500.00                 NaN
  1538.03        2500.00                 NaN
  1536.56        2500.00                 NaN
  1535.09        2500.00                 NaN
  1533.62        2500.00                 NaN
  1532.15        2500.00                 NaN
  1530.68        2500.00                 NaN
  1529.21        2500.00                 NaN
  1527.74        2500.00                 NaN
  1526.27        2500.00                 NaN
  1524.80        2500.00                 NaN
  1523.33        2500.00                 NaN
  1521.86        2500.00                 NaN
  1520.39        2500.00                 NaN
  1518.92        2500.00                 NaN
  1517.45        2500.00                 NaN
  1515.98        2500.00                 NaN
  1514.51        2500.00                 NaN
  1513.04        2500.00                 NaN
  1511.57        2500.00                 NaN
  1510.10        2500.00                 NaN
  1508.63        2500.00                 NaN
  1507.16        2500.00                 NaN
  1505.69        2500.00                 NaN
  1504.22        2500.00                 NaN
  1502.75        2500.00                 NaN
  1501.28        2500.00                 NaN
  1499.81        2500.00                 NaN
  1498.34        2500.00                 NaN
  1496.87        2500.00                 NaN
  1495.40        2500.00                 NaN
  1493.93        2500.00                 NaN
  1492.46        2500.00                 NaN
  1490.99        2500.00                 NaN
  1489.52        2500.00                 NaN
  1488.05        2500.00                 NaN
  1486.58        2500.00                 NaN
  1485.11        2500.00                 NaN
  1483.64        2500.00                 NaN
  1482.17        2500.00                 NaN
  1480.70        2500.00                 NaN
  1479.23        2500.00                 NaN
  1477.76        2500.00                 NaN
  1476.29        2500.00                 NaN
  1474.82        2500.00                 NaN
  1473.35        2500.00                 NaN
  1471.88        2500.00                 NaN
  1470.41        2500.00                 NaN
  1468.94        2500.00                 NaN
  1467.47        2500.00                 NaN
  1466.00        2500.00                 NaN
  1464.53        2500.00                 NaN
  1463.06        2500.00                 NaN
  1461.59        2500.00                 NaN
  1460.12        2500.00                 NaN
  1458.65        2500.00                 NaN
  1457.18        2500.00                 NaN
  1455.71        2500.00                 NaN
  1454.24        2500.00                 NaN
  1452.77        2500.00                 NaN
  1451.30        2500.00                 NaN
  1449.83        2500.00                 NaN
  1448.36        2500.00                 NaN
  1446.89        2500.00                 NaN
  1445.42        2500.00                 NaN
  1443.95        2500.00                 NaN
  1442.48        2500.00                 NaN
  1441.01        2500.00                 NaN
  1439.54        2500.00                 NaN
  1438.07        2500.00                 NaN
  1436.60        2500.00                 NaN
  1435.13        2500.00                 NaN
  1433.66        2500.00                 NaN
  1432.19        2500.00                 NaN
  1430.72        2500.00                 NaN
  1429.25        2500.00                 NaN
  1427.78        2500.00                 NaN
  1426.31        2500.00                 NaN
  1424.84        2500.00                 NaN
  1423.37        2500.00                 NaN
  1421.90        2500.00                 NaN
  1420.43        2500.00                 NaN
  1418.96        2500.00                 NaN
  1417.49        2500.00                 NaN
  1416.02        2500.00                 NaN
  1414.55        2500.00                 NaN
  1413.08        2500.00                 NaN
  1411.61        2500.00                 NaN
  1410.14        2500.00                 NaN
  1408.67        2500.00                 NaN
  1407.20        2500.00                 NaN
  1405.73        2500.00                 NaN
  1404.26        2500.00                 NaN
  1402.79        2500.00                 NaN
  1401.32        2500.00                 NaN
  1399.85        2500.00                 NaN
  1398.38        2500.00                 NaN
  1396.91        2500.00                 NaN
  1395.44        2500.00                 NaN
  1393.97        2500.00                 NaN
  1392.50        2500.00                 NaN
  1391.03        2500.00                 NaN
  1389.56        2500.00                 NaN
  1388.09        2500.00                 NaN
  1386.62        2500.00                 NaN
  1385.15        2500.00                 NaN
  1383.68        2500.00                 NaN
  1382.21        2500.00                 NaN
  1380.74        2500.00                 NaN
  1379.27        2500.00                 NaN
  1377.80        2500.00                 NaN
  1376.33        2500.00                 NaN
  1374.86        2500.00                 NaN
  1373.39        2500.00                 NaN
  1371.92        2500.00                 NaN
  1370.45        2500.00                 NaN
  1368.98        2500.00                 NaN
  1367.51        2500.00                 NaN
  1366.04        2500.00                 NaN
  1364.57        2500.00                 NaN
  1363.10        2500.00                 NaN
  1361.63        2500.00                 NaN
  1360.16        2500.00                 NaN
  1358.69        2500.00                 NaN
  1357.22        2500.00                 NaN
  1355.75        2500.00                 NaN
  1354.28        2500.00                 NaN
  1352.81        2500.00                 NaN
  1351.34        2500.00                 NaN
  1349.87        2500.00                 NaN
  1348.40        2500.00                 NaN
  1346.93        2500.00                 NaN
  1345.46        2500.00                 NaN
  1343.99        2500.00                 NaN
  1342.52        2500.00                 NaN
  1341.05        2500.00                 NaN
  1339.58        2500.00                 NaN
  1338.11        2500.00                 NaN
  1336.64        2500.00                 NaN
  1335.17        2500.00                 NaN
  1333.70        2500.00                 NaN
  1332.23        2500.00                 NaN
  1330.76        2500.00                 NaN
  1329.29        2500.00                 NaN
  1327.82        2500.00                 NaN
  1326.35        2500.00                 NaN
  1324.88        2500.00                 NaN
  1323.41        2500.00                 NaN
  1321.94        2500.00                 NaN
  1320.47        2500.00                 NaN
  1319.00        2500.00                 NaN
  1317.53        2500.00                 NaN
  1316.06        2500.00                 NaN
  1314.59        2500.00                 NaN
  1313.12        2500.00                 NaN
  1311.65        2500.00                 NaN
  1310.18        2500.00                 NaN
  1308.71        2500.00                 NaN
  1307.24        2500.00                 NaN
  1305.77        2500.00                 NaN
  1304.30        2500.00                 NaN
  1302.83        2500.00                 NaN
  1301.36        2500.00                 NaN
  1299.89        2500.00                 NaN
  1298.42        2500.00                 NaN
  1296.95        2500.00                 NaN
  1295.48        2500.00                 NaN
  1294.01        2500.00                 NaN
  1292.53        2500.00                 NaN
  1291.06        2500.00                 NaN
  1289.59        2500.00                 NaN
  1288.12        2500.00                 NaN
  1286.65        2500.00                 NaN
  1285.18        2500.00                 NaN
  1283.71        2500.00                 NaN
  1282.24        2500.00       0.117270E-003
  1280.77        2500.00       0.122468E-003
  1279.30        2500.00       0.106684E-003
  1277.83        2500.00       0.102376E-003
  1276.36        2500.00       0.862417E-004
  1274.89        2500.00       0.638255E-004
  1273.42        2500.00       0.985103E-004
  1271.95        2500.00       0.450402E-004
  1270.48        2500.00       0.363204E-004
  1269.01        2500.00       0.501459E-004
  1267.54        2500.00       0.460675E-004
  1266.07        2500.00       0.428216E-004
  1264.60        2500.00       0.624754E-004
  1263.13        2500.00       0.706823E-004
  1261.66        2500.00       0.588617E-004
  1260.19        2500.00       0.580671E-004
  1258.72        2500.00       0.460748E-004
  1257.25        2500.00       0.457322E-004
  1255.78        2500.00       0.512790E-004
  1254.31        2500.00       0.501748E-004
  1252.84        2500.00       0.224306E-003
  1251.37        2500.00       0.336483E-004
  1249.90        2500.00       0.332312E-004
  1248.43        2500.00       0.335839E-004
  1246.96        2500.00       0.335514E-004
  1245.49        2500.00       0.335187E-004
  1244.02        2500.00       0.334858E-004
  1242.55        2500.00       0.333860E-004
  1241.08        2500.00       0.333445E-004
  1239.61        2500.00       0.333068E-004
  1238.14        2500.00       0.337267E-004
  1236.67        2500.00       0.335259E-004
  1235.20        2500.00       0.333285E-004
  1233.73        2500.00       0.334306E-004
  1232.26        2500.00       0.333064E-004
