|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m1/K22/K22_5.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         pcr     usp     imt     ispTH     iherc     nmt     nsp     nherc    
  1592.95        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        500.000       0.742596       0.407594E-004  0.111947       0.634093E-001 -0.147054E-002 -0.541892E-001 -0.342467       0.480135     
  1573.63        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.83        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.34        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.85        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.37        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
